접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),층,건축년도,건물용도,계약년도,계약월,면적당매매가,평당매매가,거래량,주소,위도,경도
2013,11530,구로구,10200,구로동,1,대지,1256,0,구로현대,2013-06-02,31000,72.33,3.0,1992.0,아파트,2013,6,428.59,129.65,1,구로구 구로동 1256,37.4882517,126.8962006
2014,11290,성북구,13400,길음동,1,대지,1284,0,길음뉴타운8단지(래미안),2014-06-05,41300,59.99,24.0,2010.0,아파트,2014,6,688.45,208.26,1,성북구 길음동 1284,37.6075609,127.0179449
2011,11470,양천구,10100,신정동,1,대지,955,19,썬그린파크,2011-05-16,26600,59.47,4.0,2011.0,연립다세대,2011,5,447.28,135.3,1,양천구 신정동 955-19,37.5241731,126.8582061
2022,11680,강남구,10100,역삼동,1,대지,774,42,다솜,2022-04-29,54800,29.98,2.0,2021.0,연립다세대,2022,4,1827.89,552.94,1,강남구 역삼동 774-42,37.4965436,127.0443815
2015,11530,구로구,10200,구로동,1,대지,429,240,씨제이씨아트빌,2015-06-09,21900,50.8,3.0,2015.0,연립다세대,2015,6,431.1,130.41,1,구로구 구로동 429-240,37.4913901,126.8878111
2014,11260,중랑구,10300,중화동,1,대지,453,0,청광플러스원,2014-03-18,37000,84.96,13.0,2007.0,아파트,2014,3,435.5,131.74,1,중랑구 중화동 453,37.6026777,127.0800751
2012,11650,서초구,10700,반포동,1,대지,18,1,래미안퍼스티지,2012-07-11,95000,59.96,12.0,2009.0,아파트,2012,7,1584.39,479.28,1,서초구 반포동 18-1,37.502931,126.9992466
2015,11620,관악구,10100,봉천동,1,대지,1554,19,효신맨션,2015-12-17,27800,81.84,3.0,1998.0,연립다세대,2015,12,339.69,102.76,1,관악구 봉천동 1554-19,37.4779671,126.9534883
2020,11620,관악구,10300,남현동,1,대지,1053,26,우형빌리지,2020-12-05,34600,42.26,1.0,2014.0,연립다세대,2020,12,818.74,247.67,1,관악구 남현동 1053-26,37.4723381,126.9720162
2020,11680,강남구,11200,자곡동,1,대지,658,0,강남힐스테이트에코,2020-11-02,17700,24.12,6.0,2014.0,오피스텔,2020,11,733.83,221.98,1,강남구 자곡동 658,37.4747354,127.1048177
2019,11710,송파구,10700,가락동,1,대지,140,0,가락(1차)쌍용아파트,2019-09-21,99000,84.69,9.0,1997.0,아파트,2019,9,1168.97,353.61,1,송파구 가락동 140,37.4955425,127.128118
2014,11215,광진구,10300,구의동,1,대지,253,19,센트럴빌,2014-07-21,14200,32.19,10.0,2003.0,오피스텔,2014,7,441.13,133.44,1,광진구 구의동 253-19,37.5447412,127.0832171
2015,11260,중랑구,10600,신내동,1,대지,487,0,라이프미성,2015-05-19,25000,82.3,9.0,1992.0,아파트,2015,5,303.77,91.89,1,중랑구 신내동 487,37.6029431,127.0989498
2016,11290,성북구,13900,석관동,1,대지,407,0,석관래미안,2016-03-14,40500,59.9,7.0,2009.0,아파트,2016,3,676.13,204.53,1,성북구 석관동 407,37.6083656,127.0545186
2018,11530,구로구,10800,오류동,1,대지,349,0,은하수수목원,2018-07-24,30000,84.95,1.0,2005.0,아파트,2018,7,353.15,106.83,1,구로구 오류동 349,37.4889778,126.8271596
2018,11305,강북구,10300,수유동,1,대지,356,23,극동쉐르빌,2018-06-01,13500,33.84,2.0,2009.0,연립다세대,2018,6,398.94,120.68,1,강북구 수유동 356-23,37.641914,127.014008
2014,11305,강북구,10100,미아동,1,대지,1357,0,삼각산아이원,2014-03-08,28800,59.76,12.0,2003.0,아파트,2014,3,481.93,145.78,1,강북구 미아동 1357,37.6152259,127.0181273
2018,11680,강남구,10100,역삼동,1,대지,739,12,뉴현대빌라(739-12),2018-02-21,53000,84.06,2.0,1998.0,연립다세대,2018,2,630.5,190.73,1,강남구 역삼동 739-12,37.49819110000001,127.0358576
2011,11560,영등포구,12100,문래동3가,1,대지,77,2,한신,2011-09-24,45400,79.46,5.0,1988.0,아파트,2011,9,571.36,172.84,1,영등포구 문래동3가 77-2,37.5175836,126.8929979
2015,11470,양천구,10100,신정동,1,대지,1296,0,아이파크,2015-01-10,43400,59.82,15.0,2002.0,아파트,2015,1,725.51,219.47,1,양천구 신정동 1296,37.5216472,126.8721607
2011,11740,강동구,10900,천호동,1,대지,315,3,베네캐슬,2011-06-20,39000,83.52,6.0,2011.0,아파트,2011,6,466.95,141.25,1,강동구 천호동 315-3,37.5467843,127.1268708
2017,11290,성북구,13400,길음동,1,대지,1175,0,성우스타팰리스,2017-03-13,32800,52.53,7.0,2017.0,연립다세대,2017,3,624.41,188.88,1,성북구 길음동 1175,37.6094455,127.0216654
2022,11215,광진구,10500,자양동,1,대지,665,4,강변연립(665-4),2022-05-06,55000,80.79,2.0,1982.0,연립다세대,2022,5,680.78,205.94,1,광진구 자양동 665-4,37.530117,127.0837363
2020,11500,강서구,10600,내발산동,1,대지,716,47,한양하이츠빌라C동,2020-05-23,31000,79.46,1.0,1990.0,연립다세대,2020,5,390.13,118.02,1,강서구 내발산동 716-47,37.5500627,126.83413
2015,11740,강동구,10100,명일동,1,대지,294,0,삼익그린1차,2015-02-10,35600,76.46,10.0,1980.0,아파트,2015,2,465.6,140.84,1,강동구 명일동 294,37.5512602,127.1461342
2017,11470,양천구,10100,신정동,1,대지,733,31,수정,2017-07-25,20000,48.6,5.0,1987.0,아파트,2017,7,411.52,124.49,1,양천구 신정동 733-31,37.5123258,126.8420703
2022,11500,강서구,10300,화곡동,1,대지,346,74,리빙하우스,2022-06-23,22000,27.75,4.0,2016.0,연립다세대,2022,6,792.79,239.82,1,강서구 화곡동 346-74,37.5317637,126.8435238
2017,11500,강서구,10300,화곡동,1,대지,1165,0,강서힐스테이트,2017-10-16,65000,59.99,9.0,2015.0,아파트,2017,10,1083.51,327.76,1,강서구 화곡동 1165,37.5467405,126.8400355
2015,11500,강서구,10300,화곡동,1,대지,1159,0,"우장산아이파크,이편한세상",2015-05-20,58500,84.97,6.0,2008.0,아파트,2015,5,688.48,208.26,1,강서구 화곡동 1159,37.5493543,126.8387658
2016,11440,마포구,12300,망원동,1,대지,432,17,진흥하이츠빌라B동,2016-10-11,11800,42.84,-1.0,1992.0,연립다세대,2016,10,275.44,83.32,1,마포구 망원동 432-17,37.5584965,126.9013678
