접수년도,자치구코드,자치구명,법정동코드,법정동명,지번구분코드,지번구분,본번,부번,층,계약일,전월세구분,임대면적,보증금(만원),임대료(만원),건물명,건축년도,건물용도,주소,위도,경도,제곱미터당전세가,평당전세가
2018,11680,강남구,10300,개포동,1,대지,1235,4,3.0,20181003,전세,36.0,25000,0,은진빌라,1991.0,연립다세대,강남구 개포동 1235-4,37.4773289,127.0465649,694.44,210.07
2017,11590,동작구,10700,사당동,1,대지,220,120,6.0,20170515,전세,55.04,32000,0,예그리나,2014.0,연립다세대,동작구 사당동 220-120,37.4859777,126.9696092,581.4,175.87
2012,11440,마포구,11600,하중동,1,대지,101,0,7.0,20121102,전세,84.99,46000,0,한강밤섬자이,2010.0,아파트,마포구 하중동 101,37.5448522,126.9281208,541.24,163.73
2022,11350,노원구,10500,상계동,1,대지,720,0,13.0,20221002,월세,58.01,2000,73,상계주공6(고층),1988.0,아파트,노원구 상계동 720,37.6537972,127.0647488,34.48,10.43
2021,11500,강서구,10400,가양동,1,대지,239,18,2.0,20210109,전세,18.82,7300,0,럭키빌,2013.0,연립다세대,강서구 가양동 239-18,37.5715039,126.8394584,387.89,117.34
2020,11740,강동구,10100,명일동,1,대지,257,0,4.0,20200205,전세,83.34,35000,0,고덕주공9,1985.0,아파트,강동구 명일동 257,37.5479154,127.1508631,419.97,127.04
2012,11350,노원구,10500,상계동,1,대지,677,0,5.0,20120704,전세,31.95,7300,0,상계주공8(저층),1988.0,아파트,노원구 상계동 677,37.6613798,127.0624479,228.48,69.12
2014,11650,서초구,10800,서초동,1,대지,1312,3,10.0,20140619,전세,84.98,65000,0,롯데캐슬클래식,2006.0,아파트,서초구 서초동 1312-3,37.5000124,127.021441,764.89,231.38
2012,11620,관악구,10100,봉천동,1,대지,485,11,,20121006,전세,40.47,8000,0,세림빌라,1987.0,연립다세대,관악구 봉천동 485-11,37.4709995,126.9610553,197.68,59.8
2022,11530,구로구,10700,개봉동,1,대지,497,0,20.0,20220722,월세,74.94,20660,54,센트레빌레우스1단지,2020.0,아파트,구로구 개봉동 497,37.4961717,126.8542781,275.69,83.4
2012,11410,서대문구,10900,현저동,1,대지,200,0,19.0,20120429,전세,84.87,30000,0,독립문극동(200-0),1998.0,아파트,서대문구 현저동 200,37.5720344,126.9567674,353.48,106.93
2020,11740,강동구,10700,암사동,1,대지,454,1,2.0,20201130,전세,39.71,41000,0,라온프라이빗(454-1),2020.0,연립다세대,강동구 암사동 454-1,37.5533137,127.1359094,1032.49,312.33
2014,11710,송파구,10100,잠실동,1,대지,22,0,14.0,20140724,월세,59.99,46000,45,리센츠,2008.0,아파트,송파구 잠실동 22,37.5140588,127.0884544,766.79,231.96
